,district,fuel_type_petrol,fuel_type_electric,fuel_type_others,fuel_type_diesel,vehicleClass_MotorCycle,vehicleClass_MotorCar,vehicleClass_AutoRickshaw,vehicleClass_Agriculture,vehicleClass_others
0,Adilabad,66786,647,120,11764,62561,6448,1997,1331,6978
1,Bhadradri Kothagudem,117663,396,841,27885,106154,15053,5571,8564,11446
2,Hyderabad,976654,32012,41680,93133,854183,196428,35990,84,56812
3,Jagtial,108718,1147,249,16428,102227,9347,1754,7074,6140
4,Jangoan,59016,266,488,14519,55403,4687,1467,7181,5560
5,Jayashankar Bhupalpally,65806,353,165,17308,61034,6070,1567,9871,5090
6,Jogulamba Gadwal,67136,165,59,10480,64610,3707,709,4365,4449
7,Kamareddy,111059,580,365,16644,103986,9004,1986,5009,8663
8,Karimnagar,124566,1902,1299,31057,108704,20201,3408,6960,19567
9,Khammam,177686,969,3804,37384,161383,23911,7414,11580,15563
10,Kumurambheem Asifabad,39345,139,38,8488,37733,2206,1895,476,5700
11,Mahabubabad,78294,158,636,18472,74232,5000,2518,4588,11222
12,Mahabubnagar,138492,963,745,29752,128386,14873,5072,7517,14104
13,Mancherial,79024,523,241,16512,70949,10216,3161,2075,9899
14,Medak,76404,551,1148,20583,70576,8337,3422,6996,9357
15,Medchal_Malkajgiri,840822,22846,7107,121602,686735,232514,115,1616,71388
16,Nagarkurnool,81040,311,250,24542,75197,7488,1781,9208,12469
17,Nalgonda,178887,1016,3881,44328,163909,20825,6455,15330,21607
18,Nirmal,79081,1129,429,13866,74608,7325,1787,5424,5358
19,Nizamabad,200091,3609,916,31493,184706,24764,5224,8373,13044
20,Peddapalli,76602,686,239,15181,68951,10176,1800,4581,7203
21,Rajanna Sircilla,59700,888,134,11754,56203,5376,835,3902,6160
22,Rangareddy,786086,21755,7731,111061,598298,254022,104,1699,72509
23,Sangareddy,221583,5170,7031,41543,186260,52080,11024,6562,19405
24,Siddipet,114141,1352,1595,25756,105980,13115,2506,11966,9285
25,Suryapet,125645,930,944,36488,117325,12185,2762,13519,18216
26,Vikarabad,138520,1067,1600,32661,125128,19373,11615,7995,9743
27,Wanaparthy,59250,340,232,13121,55837,4839,1656,5190,5421
28,Warangal,184016,1256,1645,32524,166957,24407,4778,8157,15165
29,Yadadri Bhuvanagiri,91152,533,3857,23055,81772,12453,4772,8521,11109
